,ordernumber,orderdate,requireddate,shippeddate,status,comments,orderdetails,city,phone,state,country,postalCode,creditLimit,addressLine1,addressLine2,customerName,contactLastName,contactFirstName,salesRepEmployeeNumber,customerNumber
0,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,,"[{'priceEach': 136.0, 'productCode': 'S18_1749', 'quantityOrdered': 30}, {'priceEach': 55.09, 'productCode': 'S18_2248', 'quantityOrdered': 50}, {'priceEach': 75.46, 'productCode': 'S18_4409', 'quantityOrdered': 22}, {'priceEach': 35.29, 'productCode': 'S24_3969', 'quantityOrdered': 49}]",Nashua,6035558647,NH,USA,62005,114200.0,2304 Long Airport Avenue,,Online Diecast Creations Co.,Young,Dorothy,1216.0,1
1,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,"[{'priceEach': 108.06, 'productCode': 'S18_2325', 'quantityOrdered': 25}, {'priceEach': 167.06, 'productCode': 'S18_2795', 'quantityOrdered': 26}, {'priceEach': 32.53, 'productCode': 'S24_1937', 'quantityOrdered': 45}, {'priceEach': 44.35, 'productCode': 'S24_2022', 'quantityOrdered': 46}]",Frankfurt,+49 69 66 90 2555,,Germany,60528,59700.0,Lyonerstr. 34,,"Blauer See Auto, Co.",Keitel,Roland,1504.0,2
2,10102,2003-01-10,2003-01-18,2003-01-14,Shipped,,"[{'priceEach': 95.55, 'productCode': 'S18_1342', 'quantityOrdered': 39}, {'priceEach': 43.13, 'productCode': 'S18_1367', 'quantityOrdered': 41}]",NYC,2125551500,NY,USA,10022,76400.0,2678 Kingston Rd.,Suite 101,Vitachrome Inc.,Frick,Michael,1286.0,3
3,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,,"[{'priceEach': 214.3, 'productCode': 'S10_1949', 'quantityOrdered': 26}, {'priceEach': 119.67, 'productCode': 'S10_4962', 'quantityOrdered': 42}, {'priceEach': 121.64, 'productCode': 'S12_1666', 'quantityOrdered': 27}, {'priceEach': 94.5, 'productCode': 'S18_1097', 'quantityOrdered': 35}, {'priceEach': 58.34, 'productCode': 'S18_2432', 'quantityOrdered': 22}, {'priceEach': 92.19, 'productCode': 'S18_2949', 'quantityOrdered': 27}, {'priceEach': 61.84, 'productCode': 'S18_2957', 'quantityOrdered': 35}, {'priceEach': 86.92, 'productCode': 'S18_3136', 'quantityOrdered': 25}, {'priceEach': 86.31, 'productCode': 'S18_3320', 'quantityOrdered': 46}, {'priceEach': 98.07, 'productCode': 'S18_4600', 'quantityOrdered': 36}, {'priceEach': 40.75, 'productCode': 'S18_4668', 'quantityOrdered': 41}, {'priceEach': 107.34, 'productCode': 'S24_2300', 'quantityOrdered': 36}, {'priceEach': 88.62, 'productCode': 'S24_4258', 'quantityOrdered': 25}, {'priceEach': 92.46, 'productCode': 'S32_1268', 'quantityOrdered': 31}, {'priceEach': 63.35, 'productCode': 'S32_3522', 'quantityOrdered': 45}, {'priceEach': 94.07, 'productCode': 'S700_2824', 'quantityOrdered': 42}]",Stavern,07-98 9555,,Norway,4110,81700.0,Erling Skakkes gate 78,,Baane Mini Imports,Bergulfsen,Jonas ,1504.0,4
4,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,,"[{'priceEach': 131.44, 'productCode': 'S12_3148', 'quantityOrdered': 34}, {'priceEach': 111.39, 'productCode': 'S12_4473', 'quantityOrdered': 41}, {'priceEach': 135.9, 'productCode': 'S18_2238', 'quantityOrdered': 24}, {'priceEach': 122.73, 'productCode': 'S18_2319', 'quantityOrdered': 29}, {'priceEach': 165.95, 'productCode': 'S18_3232', 'quantityOrdered': 23}, {'priceEach': 119.2, 'productCode': 'S18_4027', 'quantityOrdered': 38}, {'priceEach': 52.02, 'productCode': 'S24_1444', 'quantityOrdered': 35}, {'priceEach': 30.41, 'productCode': 'S24_2840', 'quantityOrdered': 44}, {'priceEach': 106.45, 'productCode': 'S24_4048', 'quantityOrdered': 26}, {'priceEach': 51.95, 'productCode': 'S32_2509', 'quantityOrdered': 35}, {'priceEach': 56.55, 'productCode': 'S32_3207', 'quantityOrdered': 49}, {'priceEach': 114.59, 'productCode': 'S50_1392', 'quantityOrdered': 33}, {'priceEach': 53.31, 'productCode': 'S50_1514', 'quantityOrdered': 32}]",Madrid,(91) 555 94 44,,Spain,28034,227600.0,"C/ Moralzarzal, 86",,Euro+ Shopping Channel,Freyre,Diego ,1370.0,5
5,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,,"[{'priceEach': 127.84, 'productCode': 'S10_4757', 'quantityOrdered': 50}, {'priceEach': 205.72, 'productCode': 'S12_1108', 'quantityOrdered': 41}, {'priceEach': 141.88, 'productCode': 'S12_3891', 'quantityOrdered': 29}, {'priceEach': 136.59, 'productCode': 'S18_3140', 'quantityOrdered': 22}, {'priceEach': 87.73, 'productCode': 'S18_3259', 'quantityOrdered': 38}, {'priceEach': 75.48, 'productCode': 'S18_4522', 'quantityOrdered': 41}, {'priceEach': 117.97, 'productCode': 'S24_2011', 'quantityOrdered': 43}, {'priceEach': 73.46, 'productCode': 'S24_3151', 'quantityOrdered': 44}, {'priceEach': 75.47, 'productCode': 'S24_3816', 'quantityOrdered': 50}, {'priceEach': 54.0, 'productCode': 'S700_1138', 'quantityOrdered': 41}, {'priceEach': 86.61, 'productCode': 'S700_1938', 'quantityOrdered': 29}, {'priceEach': 60.72, 'productCode': 'S700_2610', 'quantityOrdered': 31}, {'priceEach': 92.16, 'productCode': 'S700_3505', 'quantityOrdered': 39}, {'priceEach': 99.31, 'productCode': 'S700_3962', 'quantityOrdered': 22}, {'priceEach': 44.77, 'productCode': 'S72_3212', 'quantityOrdered': 25}]",Kobenhavn,31 12 3555,,Denmark,1734,83400.0,Vinbæltet 34,,Danish Wholesale Imports,Petersen,Jytte ,1401.0,6
6,10132,2003-06-25,2003-07-01,2003-06-28,Shipped,,"[{'priceEach': 80.0, 'productCode': 'S700_3167', 'quantityOrdered': 36}]",Auckland  ,+64 9 312 5555,,New Zealand,,88000.0,162-164 Grafton Road,Level 2,"Down Under Souveniers, Inc",Graham,Mike,1612.0,7
7,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,,"[{'priceEach': 134.04, 'productCode': 'S18_1662', 'quantityOrdered': 36}, {'priceEach': 81.1, 'productCode': 'S18_2581', 'quantityOrdered': 34}, {'priceEach': 80.86, 'productCode': 'S18_3029', 'quantityOrdered': 41}, {'priceEach': 94.22, 'productCode': 'S18_3856', 'quantityOrdered': 41}, {'priceEach': 107.23, 'productCode': 'S24_1785', 'quantityOrdered': 28}, {'priceEach': 65.77, 'productCode': 'S24_2841', 'quantityOrdered': 49}, {'priceEach': 55.89, 'productCode': 'S24_3420', 'quantityOrdered': 31}, {'priceEach': 55.96, 'productCode': 'S24_3949', 'quantityOrdered': 50}, {'priceEach': 71.0, 'productCode': 'S24_4278', 'quantityOrdered': 26}, {'priceEach': 65.35, 'productCode': 'S32_4289', 'quantityOrdered': 33}, {'priceEach': 35.78, 'productCode': 'S50_1341', 'quantityOrdered': 39}, {'priceEach': 91.34, 'productCode': 'S700_1691', 'quantityOrdered': 31}, {'priceEach': 85.09, 'productCode': 'S700_2047', 'quantityOrdered': 30}, {'priceEach': 99.72, 'productCode': 'S700_2466', 'quantityOrdered': 34}, {'priceEach': 113.9, 'productCode': 'S700_2834', 'quantityOrdered': 32}, {'priceEach': 76.0, 'productCode': 'S700_3167', 'quantityOrdered': 44}, {'priceEach': 70.33, 'productCode': 'S700_4002', 'quantityOrdered': 48}, {'priceEach': 43.7, 'productCode': 'S72_1253', 'quantityOrdered': 48}]",Bergamo,035-640555,,Italy,24100,119600.0,Via Ludovico il Moro 22,,Rovelli Gifts,Rovelli,Giovanni ,1401.0,8
8,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,"[{'priceEach': 81.35, 'productCode': 'S10_1678', 'quantityOrdered': 30}, {'priceEach': 105.86, 'productCode': 'S10_2016', 'quantityOrdered': 39}, {'priceEach': 172.36, 'productCode': 'S10_4698', 'quantityOrdered': 27}, {'priceEach': 122.0, 'productCode': 'S12_2823', 'quantityOrdered': 21}, {'priceEach': 52.7, 'productCode': 'S18_2625', 'quantityOrdered': 29}, {'priceEach': 96.92, 'productCode': 'S24_1578', 'quantityOrdered': 25}, {'priceEach': 73.12, 'productCode': 'S24_2000', 'quantityOrdered': 38}, {'priceEach': 88.9, 'productCode': 'S32_1374', 'quantityOrdered': 20}]",NYC,2125557818,NY,USA,10022,114900.0,897 Long Airport Avenue,,Land of Toys Inc.,Lee,Kwai,1323.0,9
9,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,,"[{'priceEach': 165.38, 'productCode': 'S12_1099', 'quantityOrdered': 33}, {'priceEach': 96.3, 'productCode': 'S12_3380', 'quantityOrdered': 45}, {'priceEach': 75.81, 'productCode': 'S12_3990', 'quantityOrdered': 39}, {'priceEach': 107.1, 'productCode': 'S12_4675', 'quantityOrdered': 36}, {'priceEach': 67.76, 'productCode': 'S18_1889', 'quantityOrdered': 38}, {'priceEach': 73.17, 'productCode': 'S18_3278', 'quantityOrdered': 26}, {'priceEach': 132.29, 'productCode': 'S18_3482', 'quantityOrdered': 29}, {'priceEach': 52.84, 'productCode': 'S18_3782', 'quantityOrdered': 43}, {'priceEach': 139.87, 'productCode': 'S18_4721', 'quantityOrdered': 44}, {'priceEach': 64.41, 'productCode': 'S24_2360', 'quantityOrdered': 35}, {'priceEach': 60.01, 'productCode': 'S24_3371', 'quantityOrdered': 30}, {'priceEach': 132.0, 'productCode': 'S24_3856', 'quantityOrdered': 40}, {'priceEach': 67.1, 'productCode': 'S24_4620', 'quantityOrdered': 31}, {'priceEach': 36.21, 'productCode': 'S32_2206', 'quantityOrdered': 27}, {'priceEach': 87.76, 'productCode': 'S32_4485', 'quantityOrdered': 31}, {'priceEach': 74.85, 'productCode': 'S50_4713', 'quantityOrdered': 34}]",Makati City,+63 2 555 3587,,Philippines,1227 MM,81500.0,15 McCallum Street,NatWest Center #13-03,Cruz & Sons Co.,Cruz,Arnold,1621.0,10
